stn_code,stn_delay_all,stn_delay_nowinter,stn_traff
ISA,15.6630744541,13.2016199082,10
ISH,10.6753738308,10.3464031584,12
IPR,105.703924922,90.570518815,10
ISM,18.0852112087,18.0455158754,29
IMGE,52.6878615661,49.0075356732,14
ET,68.4990884743,47.4313707456,299
IKI,33.2824255588,35.4942332467,6
ITA,12.7257939114,11.6468921808,14
ITR,7.61733182305,7.18881221726,27
IZN,12.8288123018,7.70327063668,28
JBP,63.3718468917,48.1221912143,181
JBX,26.7530972606,29.5223988941,6
JCL,47.046511033,44.5928728351,32
JUD,187.000401971,142.444839148,12
JUDW,59.3597564684,49.380769675,37
JGD,296.352750809,326.925110132,13
JTB,37.7165179407,30.6957381688,9
JDB,29.4208264539,28.3874060417,8
JDL,9.36293724369,10.3296428349,6
JGJ,129.56837929,146.51501347,10
JID,84.448864416,58.3120725651,44
JGN,11.6638101384,9.29696344077,18
JDN,26.8205253386,25.0074887621,12
JP,62.5635340842,48.9862301155,199
JRMG,13.2804896216,11.5601806111,25
JAIS,149.101636676,145.699022882,28
JSM,31.8009164235,27.6318433189,18
JTI,13.9495956958,13.8425562813,14
JTU,91.6292844818,92.331031449,28
JES,11.5645393198,6.0515513852,8
JTW,66.3618757062,54.7375926513,20
JWL,13.4832281427,13.6641058451,10
JJKR,51.4098953717,41.9212413641,107
JHL,52.3952372611,37.4234331025,59
JKB,0.811754068716,0.95625,6
JLN,87.3982050473,68.6431139702,13
JKN,71.7091010176,69.6497667556,25
JKPR,20.9399053453,20.1886256807,18
JHN,57.9389133508,50.0649217202,23
JKA,5.25711193386,3.04648259441,6
JKO,22.7834733894,22.030806288,2
JLL,110.668924804,105.542318471,27
JPD,82.1586282957,73.2701144835,8
JM,15.7576066314,15.7489186874,30
JRC,103.372155899,81.7665710605,144
JUC,94.5171406547,68.0199820849,166
JAG,9.0690086359,7.01345318911,14
JLS,133.118178206,120.865664321,16
JER,56.1178204988,45.6394855082,48
JL,49.2482717102,35.5068154944,145
JNRI,18.8541848681,11.1269230769,2
JALD,7.60133106642,3.78668386653,6
JBD,13.3519355819,11.4125356281,12
J,20.2467285725,14.5200847987,63
JOR,5.44191806095,5.15358193079,12
JPG,12.2646449271,12.0499626547,12
JPE,89.7958621952,73.4588623253,31
JAC,14.2676548521,13.1346715416,10
JACN,14.2676548521,13.1346715416,10
JDH,7.79027745489,7.56942398383,6
WTJ,10.0898462589,2.67756587547,10
